id,batch,case_id,label,seed,variant,source_config,source_config_sha256,config,target,continuation
run_011,8,five_001_nursery_manager,Oracle · Video-Past,42,P3,outputs/five_001_nursery_manager/prompt_control_seed42/P3/video_past/config.json,5e57ee0737cfcad42d7b8070d9f823df8d9f86ccaaa46fc9532cba0bc86bb318,records/outputs/five_001_nursery_manager/prompt_control_seed42/P3/video_past/config.json,media/videos/a091904c3f308dae877a760a286051488d943a0429c501df6b7472a2deb1bece.mp4,media/videos/a148e449b4b79bf4308c0df902922fce455e6a18749b53b0ef30e01b7575eb3e.mp4
run_012,7,five_001_nursery_manager,Oracle · Image-Target,42,,outputs/five_001_nursery_manager/reference_grid_seed42/image_target/config.json,77a60fe888d8a581fbfa1f3b4578f5a75b3df420ff179be8e1025957fdf93efe,records/outputs/five_001_nursery_manager/reference_grid_seed42/image_target/config.json,media/videos/1ed1bbd9440b19649031cff96979d6fc054ff13451c91a532532a63c66a3d3a3.mp4,media/videos/5ce6bcb17cadf2ea4170afa4ac61eee16dbead22613712fa8ba5c2a0ecfa248a.mp4
run_013,7,five_001_nursery_manager,Oracle · Video-Past,42,,outputs/five_001_nursery_manager/reference_grid_seed42/video_past/config.json,0b65f3f51e14420ca4133772ad696cc1a7179d355f0d639188b7e4d18af8d843,records/outputs/five_001_nursery_manager/reference_grid_seed42/video_past/config.json,media/videos/2394e7ea41575d24a91f2831c1c4bb81660f7de5d3ed34e972d13f58c3ed6d14.mp4,media/videos/108a214fa44bc16a9d1140ac9a6b25e0b857fafe93e84330765a8dd84be4a3c4.mp4
run_014,7,five_001_nursery_manager,Oracle · Video-Target,42,,outputs/five_001_nursery_manager/reference_grid_seed42/video_target/config.json,1ff5ba6b470fb0c4e57a34ef228069e9c569519f64b7e28757125613397d1a5e,records/outputs/five_001_nursery_manager/reference_grid_seed42/video_target/config.json,media/videos/37651ea2f0a9a3108cee2167c516d8b82e95e74dfbc4f9acd0a7430995526af9.mp4,media/videos/4388a533eed018ba5ea26d17923ca1efae755ddafe7bec755b329e69effb2e9d.mp4
run_015,6,five_002_robot_head,Local-only,42,,outputs/five_002_robot_head/image_past_seed42/local/config.json,11fdc49234bef37704eccbce73b7557fb2f22384503c4c8666150d77070b35c1,records/outputs/five_002_robot_head/image_past_seed42/local/config.json,media/videos/4a0c89a0f12fcea5df162189cc7442cef5e954fdf595e51a1c39d17480e31ae1.mp4,media/videos/2a7803c4fbea9868dffa3fc4a4c040f252f219fc0d7ca4bc7e44c5cafa165d22.mp4
run_016,6,five_002_robot_head,Oracle · Video-Past,42,,outputs/five_002_robot_head/image_past_seed42/oracle/config.json,551949e0b223242612c26ea50baed64bd55de55714d2a313c819486256c63420,records/outputs/five_002_robot_head/image_past_seed42/oracle/config.json,media/videos/2dd4d40f74bf9c0403fcec03711e3d394dfd3325b7359cb6be3174d52e2b2368.mp4,media/videos/e8e96399bf10563ed1b72a4b14be2442da558e2f2046be6bb5fd7ed5db60a4e0.mp4
run_017,8,five_002_robot_head,Oracle · Image-Past,42,P1,outputs/five_002_robot_head/prompt_control_seed42/P1/image_past/config.json,40a6d9bbebdd2df1a61e379387b7c0ee54d3af5e79591f4e5b3e715154162d65,records/outputs/five_002_robot_head/prompt_control_seed42/P1/image_past/config.json,media/videos/157f0abba39a9d8a2ff85957e4ff1fc5331c4e068a7a69896ed168e6d4979ee6.mp4,media/videos/18c8744c67489b96fe3399e3f267c09a6967a868aad5b1c9ee0d2f42f05f6338.mp4
run_018,8,five_002_robot_head,Local-only,42,P1,outputs/five_002_robot_head/prompt_control_seed42/P1/local/config.json,0b965fad609c808e3a08cec80ba942ee8ab5c15e18f9da89dd37e5f2c1156226,records/outputs/five_002_robot_head/prompt_control_seed42/P1/local/config.json,media/videos/d48512b4075b32769e8482ad7fd50bade4abe77f397521cea7589fbe644ae6a7.mp4,media/videos/6809235feaca545fb01fa0e2b765fdebc2019d72a06b18c369f35b9ea68e5224.mp4
run_019,8,five_002_robot_head,Oracle · Video-Past,42,P1,outputs/five_002_robot_head/prompt_control_seed42/P1/video_past/config.json,c5b909bdd2c58b2c751f0bc01a38b906873325badd014c1e8f27da69c9f7085c,records/outputs/five_002_robot_head/prompt_control_seed42/P1/video_past/config.json,media/videos/2db7fd84f771e51eb368efaef9ac684eddc24c1a9569cf3edc2bd881268682c1.mp4,media/videos/ee495abd32bb64978d681f2225cbe25b9789b28f2d4ff398393d4a798c5d9a1d.mp4
run_020,8,five_002_robot_head,Oracle · Image-Past,42,P2,outputs/five_002_robot_head/prompt_control_seed42/P2/image_past/config.json,e12db488b5107190aecdacbe790f902e68fcc220eb5c69c0145bb5d06807e46d,records/outputs/five_002_robot_head/prompt_control_seed42/P2/image_past/config.json,media/videos/ea27275adaa98fb602ffeadf5dc43784cf9d397acd74b6c1dae3dda380709fa9.mp4,media/videos/5556c18aee561be7956c5ff9f1871ec97da364e405a93957d32c142e5d3deef0.mp4
run_021,8,five_002_robot_head,Local-only,42,P2,outputs/five_002_robot_head/prompt_control_seed42/P2/local/config.json,04d19d752bd20715edcaf9d9f77290873182a14d25db15b1c2727341a70164a1,records/outputs/five_002_robot_head/prompt_control_seed42/P2/local/config.json,media/videos/0d5144bfe4521182beb428f4f449c74d886e6bfa01a886d63dc853256c13d174.mp4,media/videos/39e99540944b0697c1b84dc4250cd80458383048fccc637e3345d3f6ec75a613.mp4
run_022,8,five_002_robot_head,Oracle · Video-Past,42,P2,outputs/five_002_robot_head/prompt_control_seed42/P2/video_past/config.json,f0c4c7cd7d37ff1d5ab77911743a0f2d041c597a9d80098d19e674216603d7e6,records/outputs/five_002_robot_head/prompt_control_seed42/P2/video_past/config.json,media/videos/0a871665e2075565b93bafa51366aa81e715aef4048e84fe58f77fc8cbf13843.mp4,media/videos/eef0a604b950b40aa85ffbfcd364e918fac24e457b13b7b64d2a92cd40acefdf.mp4
run_023,8,five_002_robot_head,Oracle · Image-Past,42,P3,outputs/five_002_robot_head/prompt_control_seed42/P3/image_past/config.json,3f8e227c3e6b007d935448f5c452fc45bbd47337b3a524649f29fd9430980153,records/outputs/five_002_robot_head/prompt_control_seed42/P3/image_past/config.json,media/videos/4358ad93f79296956b45e6ec945b7b6f7d744087c7421cf103a74b9214832c9c.mp4,media/videos/9db49def796f165ffd2e1f40b08e7fb94c2351c04c6f2a7c22f753df7b8f65da.mp4
run_024,8,five_002_robot_head,Local-only,42,P3,outputs/five_002_robot_head/prompt_control_seed42/P3/local/config.json,addfbf4b29ddabdb9d150eee60c19f395dd28ef5eb5d988ff3bc569dda751d4c,records/outputs/five_002_robot_head/prompt_control_seed42/P3/local/config.json,media/videos/c60d3cc7adf752d866446de5cfbe3480e46aa52005fb1e92219470b00f799941.mp4,media/videos/26dd2a2f87cc85ffe0edaba005547c7b53d8162756e1a7d6cbdff8349f198ca7.mp4
run_025,8,five_002_robot_head,Oracle · Video-Past,42,P3,outputs/five_002_robot_head/prompt_control_seed42/P3/video_past/config.json,7c3a53649d64aad501c2d7f40aa73a8235d81514332e07012f2691ab9d70ad64,records/outputs/five_002_robot_head/prompt_control_seed42/P3/video_past/config.json,media/videos/6a96ad107859e2bea51743c1be495b87698ec868f2ec3871044bf78d68fc4bee.mp4,media/videos/6e54175cbc726c2686e6fad44843bfa06f124d66b5dee41e6d1bd30b94464e7d.mp4
run_026,7,five_002_robot_head,Oracle · Image-Target,42,,outputs/five_002_robot_head/reference_grid_seed42/image_target/config.json,2ff3c9c950888fe6d935c0d0182f73291f7ea9e54dce252c3aa0e2c9d61bae16,records/outputs/five_002_robot_head/reference_grid_seed42/image_target/config.json,media/videos/344a9ff92b353c872f2b9771591755b0f04a2875e63ca42aa211003dc21f95f1.mp4,media/videos/376c0c1cfbb2a4211658a23cb51440f4036666985f2b56b32f5413ba4356c76f.mp4
run_027,7,five_002_robot_head,Oracle · Video-Past,42,,outputs/five_002_robot_head/reference_grid_seed42/video_past/config.json,b9fcedc5fcb1dbe9e2d39c38d343ffa27cff024fc69913755d3fdba40649a42c,records/outputs/five_002_robot_head/reference_grid_seed42/video_past/config.json,media/videos/c48aa7d4f054f19541a9ade2e22f3cc4ebe90ccc35aaf1efa96200cb89f620b8.mp4,media/videos/6cca90e58a1da2887bb6ccb7fea1d68c01b497dc22a984f9732771c6fc880862.mp4
run_028,7,five_002_robot_head,Oracle · Video-Target,42,,outputs/five_002_robot_head/reference_grid_seed42/video_target/config.json,3b8c721fed8e3b4ca68da69358b6ad2e33364236598caf584b025f33f4501a49,records/outputs/five_002_robot_head/reference_grid_seed42/video_target/config.json,media/videos/e2b115a02d0047c4ff057c2ae18af52c82669b2ab189c5b49c0d5dbcd1a94ee8.mp4,media/videos/4f9b448385f1dad6fcbc7d925ac17d8c84c254899c17580161d84987d30a9e3c.mp4
run_029,6,five_003_student_return,Local-only,42,,outputs/five_003_student_return/image_past_seed42/local/config.json,219555b96349664a2937223fbb3a0027313eb3ecfc84ad1af2cb5fc59aedef37,records/outputs/five_003_student_return/image_past_seed42/local/config.json,media/videos/e059247af6cb72c7a374965e5616394854a3e3f45b1d071cae59fef62e754f9c.mp4,media/videos/902a597d3c5ffff0b9146c56ded7575a78c31a73a08797e6b0eecfa5fffcdd0e.mp4
run_030,6,five_003_student_return,Oracle · Video-Past,42,,outputs/five_003_student_return/image_past_seed42/oracle/config.json,d5279ec668be653234b9ea39594626007d0b9c25a9961be0edf185aca75d1e35,records/outputs/five_003_student_return/image_past_seed42/oracle/config.json,media/videos/fd0d5f3324907e9e0bc14ccab462165a06833c78e05a9a49f79897a6018ad280.mp4,media/videos/fdc028bea34bffecea66c58f5874fa28d6272953d0178b3aa59fa346d6351ce0.mp4
run_031,8,five_003_student_return,Oracle · Image-Past,42,P1,outputs/five_003_student_return/prompt_control_seed42/P1/image_past/config.json,6731830cad637e0f2d483ee32f4cac26f8d8a1076eb53774a4c23235927118d7,records/outputs/five_003_student_return/prompt_control_seed42/P1/image_past/config.json,media/videos/2263bf971ad444416ce6e336aa2150b2a69be092047d37b58fe9373b38d486b9.mp4,media/videos/0db0bd7da64fa15e1aadae2baa16356dfdac0ab9b9ba9da4d650233d325f4f17.mp4
run_032,8,five_003_student_return,Local-only,42,P1,outputs/five_003_student_return/prompt_control_seed42/P1/local/config.json,c4ab333f81c1cd132c50372430788f377006c575f7608dc134204e8ee1bd97bd,records/outputs/five_003_student_return/prompt_control_seed42/P1/local/config.json,media/videos/5ebf5c7abfb8b6f2b442aa915e2bf1d8e6dad1ff3d82efcbe4c510b8970bb96f.mp4,media/videos/952eaaf21c964dac6d57b938c9577000ed51eff4d8d6a193e31917476c3bb5b4.mp4
run_033,8,five_003_student_return,Oracle · Video-Past,42,P1,outputs/five_003_student_return/prompt_control_seed42/P1/video_past/config.json,94de7a3efcc5ff83b382101717c04bcc603af9cc5e905dd9b83021c1dcd1dd16,records/outputs/five_003_student_return/prompt_control_seed42/P1/video_past/config.json,media/videos/f969759afe612730769669b611d8ffea1b35f2f0f9abaa62939eac8ad519c332.mp4,media/videos/57e8eb0afc4f6a7f3193e84208de6652195e8c7e086ae62dd571138d82ae0fb6.mp4
run_034,8,five_003_student_return,Oracle · Image-Past,42,P2,outputs/five_003_student_return/prompt_control_seed42/P2/image_past/config.json,eb7258c68ca935913c2879795c6dd068c431c41deff32a7ace4dd622605d382b,records/outputs/five_003_student_return/prompt_control_seed42/P2/image_past/config.json,media/videos/995f9e988555fdd4362f07b7d5b2635aa64631b178e03a5ad8cdc21ad2911be0.mp4,media/videos/3d75f901d6e53a75cd0b74c238c03eb11abb62c3004b37f4fa79abc8ec7d6b13.mp4
run_035,8,five_003_student_return,Local-only,42,P2,outputs/five_003_student_return/prompt_control_seed42/P2/local/config.json,bbdfd9a5342c50bb4bde1005c0da1a60a32aff1c797d8d7ecf91c632e1f3c737,records/outputs/five_003_student_return/prompt_control_seed42/P2/local/config.json,media/videos/914d11d8c9a2eb5b3c7b41451cd777f96375006a1bd634144743adc5b8773ed3.mp4,media/videos/b339050a62dabbb67dcefd19e31c1f561b3f5b3350dd686e6c64ca9497801c6f.mp4
run_036,8,five_003_student_return,Oracle · Video-Past,42,P2,outputs/five_003_student_return/prompt_control_seed42/P2/video_past/config.json,6cde394819f8dbfc9cbb4b98840512b51c1abc68453264533e16abe45b10a7e6,records/outputs/five_003_student_return/prompt_control_seed42/P2/video_past/config.json,media/videos/cae06ba31d338760e3ef0b9e463915c1d9ae5405f78377d9e1bafe5d63992418.mp4,media/videos/2e2540814b0a13864de1fafece0ddc29d61b6cfbb8184ad148a6360e98ab0b9f.mp4
run_037,8,five_003_student_return,Oracle · Image-Past,42,P3,outputs/five_003_student_return/prompt_control_seed42/P3/image_past/config.json,aaacac30286e8ace80edb0bd8247f08aab3793e1b0eb6cded3616ad3e4cd0b0f,records/outputs/five_003_student_return/prompt_control_seed42/P3/image_past/config.json,media/videos/71da72acd78039a3d204ab9372e7fc21c02f68fabbf1a453aaa48ac8855dbb48.mp4,media/videos/4de780337372a3d99cbcf70c5e9ec327ac922ceae67107be1ae1723767e8c4a7.mp4
run_038,8,five_003_student_return,Local-only,42,P3,outputs/five_003_student_return/prompt_control_seed42/P3/local/config.json,2eaff091b2111263ba8ce474933d45e7718a25b3933f1b925dfbdae3cccb832b,records/outputs/five_003_student_return/prompt_control_seed42/P3/local/config.json,media/videos/cce1914b28e218d0fc3a738479d33bfaa55c27ec3fcd992d05766b62008b3b95.mp4,media/videos/4190d657169a26757724c663ee8778865650051123cf3018d847f398af640f1c.mp4
run_039,8,five_003_student_return,Oracle · Video-Past,42,P3,outputs/five_003_student_return/prompt_control_seed42/P3/video_past/config.json,a92b99a960789a3713e730b1986c976dc5379b7d4c1b1f10e1c2e7d3efbd8bcf,records/outputs/five_003_student_return/prompt_control_seed42/P3/video_past/config.json,media/videos/0460b2fd36d3a2fb4701087ec9029e6e3afbd9dc2dc8165e2b26043358b49a46.mp4,media/videos/a30cdf69387d2ac337e8c632541ed0802c75db77a1308442ff5acf36c0f6f61a.mp4
run_040,7,five_003_student_return,Oracle · Image-Target,42,,outputs/five_003_student_return/reference_grid_seed42/image_target/config.json,d7f948c443a7fd596ac8ab573c00307a600eeb1b9d623826d07d0a3095bfd2f3,records/outputs/five_003_student_return/reference_grid_seed42/image_target/config.json,media/videos/ed218af967f9c2aa7db50a74f726128184da0042ed37c5ae1277db3c38781274.mp4,media/videos/a63f585764458aea0b508f8e51d81db3e3b4a6d8495c64c85aa52a6898bb1da2.mp4
run_041,7,five_003_student_return,Oracle · Video-Past,42,,outputs/five_003_student_return/reference_grid_seed42/video_past/config.json,9a210b8c0ea9677d1ceebe0c4ba8e6c1e8130d8ede0e5c6547c0c303ee7e6bbb,records/outputs/five_003_student_return/reference_grid_seed42/video_past/config.json,media/videos/f0fc35209ffce27aaae40e176bb6f64b1848be97c31ec57ce834e2efb25ccdeb.mp4,media/videos/0c08e8381316c6491b23e893874dd212af88efa9f4339d1504e6df3404798d72.mp4
run_042,7,five_003_student_return,Oracle · Video-Target,42,,outputs/five_003_student_return/reference_grid_seed42/video_target/config.json,920156e2089a80e455f5dcf4aaef62678012487570b13178f592ec870c971594,records/outputs/five_003_student_return/reference_grid_seed42/video_target/config.json,media/videos/aea8ab26e241b058235ba9f7f16f70b54c97f3dbe4b72ef5e6bb23c7be615b87.mp4,media/videos/3d4589acbdf759ad395d28d80831d84735a7329c0c2899de2fa1238c79fbf8c8.mp4
run_043,6,five_004_van_exterior,Local-only,42,,outputs/five_004_van_exterior/image_past_seed42/local/config.json,9b348fe0c155d42821b61dc3eb3b013cea42a32695cf0b4702fbbc144473af5c,records/outputs/five_004_van_exterior/image_past_seed42/local/config.json,media/videos/19b428a4d2ccce5d75bcf07bcb960848c4a164f477aba0ca1074f00b25d6d6ac.mp4,media/videos/d649c384ed1838007fd91f370a46fda4284556c71718ce5c8f7941ccd656bd0d.mp4
run_044,6,five_004_van_exterior,Oracle · Video-Past,42,,outputs/five_004_van_exterior/image_past_seed42/oracle/config.json,3c444d984f4c8ac123074d0b62e3913f1188e8eee99657b08c27d53be9f9a226,records/outputs/five_004_van_exterior/image_past_seed42/oracle/config.json,media/videos/db8048153744ff0655b43d50af02cdb2eac672c257c8facab712a4677b595cc9.mp4,media/videos/6535911ac31f5aca75de0910d61a989e21a02aaa9fd19565d46c5188a9a5dfca.mp4
run_045,8,five_004_van_exterior,Oracle · Image-Past,42,P1,outputs/five_004_van_exterior/prompt_control_seed42/P1/image_past/config.json,4f2fdffaf50df70b64cf706d47711d4a5ecbcc373f103e922ab53dfa304d444a,records/outputs/five_004_van_exterior/prompt_control_seed42/P1/image_past/config.json,media/videos/7b7ce83758a7aab2794a2225c87f05daaa8a1e73da35685d8f3571cf35f4df56.mp4,media/videos/d4c9f2b9f5e6d35a80e671f63a45ad25cba8eb945f1986657855aa3036844e2d.mp4
run_046,8,five_004_van_exterior,Local-only,42,P1,outputs/five_004_van_exterior/prompt_control_seed42/P1/local/config.json,58813e6fa09315b35f9e71aa3938c21c428ec70492df7261a202d7a5f05efc01,records/outputs/five_004_van_exterior/prompt_control_seed42/P1/local/config.json,media/videos/4b16b5a2cef99873f270af708235d79c955f37992e09a0ce78e10908f0882080.mp4,media/videos/a4336db91ba24893ab1f7989457b1f00f7960e2e1072586aad67798e978722da.mp4
run_047,8,five_004_van_exterior,Oracle · Video-Past,42,P1,outputs/five_004_van_exterior/prompt_control_seed42/P1/video_past/config.json,e36cea9d5463483068a95ea090851db56d1e5f27d7c26b0c37a3215db681c059,records/outputs/five_004_van_exterior/prompt_control_seed42/P1/video_past/config.json,media/videos/193bb27b6fc0b914ffacc7d91ed7d595c856001525d7a0f0a3c12d98c12a97c8.mp4,media/videos/33f3a77970684d430a27dfca2c005877f5f6ae9440c1dd92ac62dd9a0a79af70.mp4
run_048,8,five_004_van_exterior,Oracle · Image-Past,42,P2,outputs/five_004_van_exterior/prompt_control_seed42/P2/image_past/config.json,3b25a7ab88fad74edcf7993ac6b3fa75486aed795665b87ddd09f3725409cddc,records/outputs/five_004_van_exterior/prompt_control_seed42/P2/image_past/config.json,media/videos/6f9db90dcf44a0d4863a805b5fb1a6ff995a5ed82431a740ffe5127f2f9716f0.mp4,media/videos/441a8cb5b9f3d6f20e88dc3fb9249cbe0adc22eccf771afaf6898f19ca5a3723.mp4
run_049,8,five_004_van_exterior,Local-only,42,P2,outputs/five_004_van_exterior/prompt_control_seed42/P2/local/config.json,303a93553092fcca541b2fccb9661c5556ee27bb7c919d8c94f8d51410e58491,records/outputs/five_004_van_exterior/prompt_control_seed42/P2/local/config.json,media/videos/77f4680912ddef57e3ae0d1a059c3784a2b70dbc2e1976cc24a787d521521538.mp4,media/videos/27d43afa77243644d99cf03ce8a90dbbcb6b16146ac5d326e6d99eddc97ce40d.mp4
run_050,8,five_004_van_exterior,Oracle · Video-Past,42,P2,outputs/five_004_van_exterior/prompt_control_seed42/P2/video_past/config.json,a803500bd26f7a1bdffedaed4ab58b094bb6510c0a1e9a8ac35af42b5595ddb5,records/outputs/five_004_van_exterior/prompt_control_seed42/P2/video_past/config.json,media/videos/72392ecdc8c8e60bdd544a4b62ea2244b7d9b553b5aa55464d0c579cfe84b1c5.mp4,media/videos/b27013508dcf48f667d4238e2d4da71126830d2aaf9d14f14037aedcf81b8ed0.mp4
run_051,8,five_004_van_exterior,Oracle · Image-Past,42,P3,outputs/five_004_van_exterior/prompt_control_seed42/P3/image_past/config.json,83938834d879ef1bc8116cf517d75ed46affcf34b9642fa4aa7c76386eedb370,records/outputs/five_004_van_exterior/prompt_control_seed42/P3/image_past/config.json,media/videos/352c31528d62c2bcc0fa7fc102d4b91230b9e9bb7313f740457f88cf279d4e3c.mp4,media/videos/709a0b8b436ddba3c2ad5989592290ef990a5ff6cb1f59e401fe67e578918273.mp4
run_052,8,five_004_van_exterior,Local-only,42,P3,outputs/five_004_van_exterior/prompt_control_seed42/P3/local/config.json,1b2de21de5784bd3be8430f810f50ca5d0e08a12e2b5ea07466db9f04a82e78b,records/outputs/five_004_van_exterior/prompt_control_seed42/P3/local/config.json,media/videos/6751f3dede839dff2166f316fad20c28f6df1ad180bad311fe8d4417dc927069.mp4,media/videos/d31cad3594d9b1ad41840712a6c45f6c322c528ea3c9dd9a997f9fe75dd3298d.mp4
run_053,8,five_004_van_exterior,Oracle · Video-Past,42,P3,outputs/five_004_van_exterior/prompt_control_seed42/P3/video_past/config.json,25bc4f3f363453723995485eaed5d76fcdb8d589f82138e45a3efc996097dab9,records/outputs/five_004_van_exterior/prompt_control_seed42/P3/video_past/config.json,media/videos/6acd7684c6a4b642d24177f14f1b88da53bbe49e9e0c592834a14c559fc6ace8.mp4,media/videos/fc687028f225403d2c1c8a50d25665dc32756fa3707776da15a41906c68f51ff.mp4
run_054,7,five_004_van_exterior,Oracle · Image-Target,42,,outputs/five_004_van_exterior/reference_grid_seed42/image_target/config.json,3ebfb0cd64d8bd8151edd0da907951a1a619e106fa569b486c439082dca1e6b7,records/outputs/five_004_van_exterior/reference_grid_seed42/image_target/config.json,media/videos/777aa014a89e585a2d4e17a5afe9b18ca3a28526a741461c28f20df814a638ae.mp4,media/videos/e9879a442c259d63ab93244e052399c85223c5bf53a971c939e839d27c75ef31.mp4
run_055,7,five_004_van_exterior,Oracle · Video-Past,42,,outputs/five_004_van_exterior/reference_grid_seed42/video_past/config.json,8d58293e7a6104dd6b0fe478a0e24d12f1a0b6b6b19d81550fa7e06a58d6bbd6,records/outputs/five_004_van_exterior/reference_grid_seed42/video_past/config.json,media/videos/b1253c3ffc2ec2ff4d6fa36c3be535dac0865efb01ac6e1b4ae6873a568df09f.mp4,media/videos/989e109b86dac45f5674ff7490f0dd4c0c219930acdbcfbf870e8a480145229f.mp4
run_056,7,five_004_van_exterior,Oracle · Video-Target,42,,outputs/five_004_van_exterior/reference_grid_seed42/video_target/config.json,e83c8396314078a1ad1c9c4892835fec59ecff96c1759436828381d281f3565a,records/outputs/five_004_van_exterior/reference_grid_seed42/video_target/config.json,media/videos/32d97f7a1ab9ad441daf350b0164718a8b01f06d17de02e509207ae92fd52e29.mp4,media/videos/eb93b0fab3c3ee1403945672126d7214d8f0849d0af21e3e3a96bb55b1c691b0.mp4
run_057,6,five_005_conservator,Local-only,42,,outputs/five_005_conservator/image_past_seed42/local/config.json,2f0cdb7c728a392220f2c43b62e74f15bc03636983d8a1df13ef549f7c5c063e,records/outputs/five_005_conservator/image_past_seed42/local/config.json,media/videos/005b3bfdcb07fe347b149c349026cb1ed3da658e6a61301bff8b365760d550a8.mp4,media/videos/26bfc5f6b951f591a7492bb58c1ea5fa206ea75d116f7f4d5b7a3c7ac68a3e7d.mp4
